Source,Target,Weight,Distance_km
1,2,0.2722,3.573
1,8,0.2931,3.312
1,13,0.3055,3.174
1,14,0.213,4.595
1,16,0.2667,3.65
1,18,0.2195,4.456
1,19,0.2192,4.463
1,21,0.2611,3.73
1,22,0.21,4.662
1,26,0.4808,1.98
1,28,0.228,4.286
1,32,0.2765,3.517
1,34,0.2087,4.692
1,38,0.3096,3.13
1,39,0.2478,3.935
1,40,0.3755,2.563
1,41,0.3292,2.938
1,42,0.2798,3.473
1,44,0.2487,3.921
1,45,0.283,3.434
1,52,0.4049,2.37
1,59,0.2445,3.99
1,60,0.6042,1.555
1,62,0.3594,2.682
1,63,2.0918,0.378
1,64,0.3654,2.637
1,65,0.5221,1.815
1,70,0.2806,3.463
1,73,2.5447,0.293
1,74,0.3262,2.965
2,4,0.3123,3.102
2,8,0.3169,3.056
2,13,0.4011,2.393
2,14,0.8029,1.145
2,16,0.4233,2.262
2,17,0.2026,4.836
2,21,0.2201,4.444
2,28,1.0552,0.848
2,29,0.2086,4.694
2,32,0.2043,4.795
2,37,0.2885,3.366
2,38,0.292,3.325
2,39,0.243,4.016
2,40,0.7075,1.314
2,41,0.2108,4.645
2,42,0.332,2.912
2,52,0.1978,4.956
2,55,0.5952,1.58
2,60,0.2991,3.244
2,62,0.4522,2.112
2,63,0.2496,3.906
2,64,0.3304,2.927
2,65,0.1992,4.92
2,70,0.2606,3.738
2,73,0.2714,3.584
2,74,0.2118,4.62
2,75,0.5071,1.872
3,18,0.2153,4.545
3,19,0.2155,4.54
3,20,0.4565,2.091
3,34,0.2026,4.836
3,43,0.5994,1.568
3,46,0.2813,3.454
3,54,0.4509,2.118
3,69,0.2734,3.557
4,14,0.4802,1.982
4,16,0.3227,2.999
4,17,0.4661,2.046
4,28,0.3202,3.023
4,37,0.4634,2.058
4,40,0.2219,4.406
4,55,0.512,1.853
4,70,0.2148,4.555
4,72,0.2142,4.568
4,75,0.2787,3.488
5,7,0.4965,1.914
5,52,0.2133,4.588
5,58,4.139,0.142
5,67,0.2308,4.233
6,11,0.2636,3.693
6,20,0.2905,3.342
6,24,0.2495,3.909
6,25,0.2086,4.694
6,36,0.2112,4.635
6,43,0.2415,4.04
6,46,0.5873,1.603
6,54,0.2615,3.724
6,56,0.2005,4.888
6,69,0.3163,3.062
6,71,0.2075,4.72
7,58,0.5272,1.797
7,59,0.2007,4.881
7,67,0.2857,3.4
8,13,1.3075,0.665
8,14,0.2382,4.099
8,16,0.2006,4.886
8,18,0.2032,4.822
8,19,0.2026,4.836
8,21,0.6546,1.428
8,22,0.3295,2.935
8,23,0.342,2.824
8,25,0.211,4.639
8,26,0.2416,4.039
8,28,0.3134,3.091
8,29,0.2501,3.898
8,32,0.4936,1.926
8,34,0.2606,3.737
8,38,1.9693,0.408
8,39,0.9301,0.975
8,40,0.4817,1.976
8,41,0.4624,2.063
8,42,2.6774,0.274
8,44,0.4098,2.34
8,45,0.308,3.147
8,48,0.2743,3.545
8,49,0.3424,2.821
8,55,0.2273,4.3
8,56,0.2592,3.758
8,57,0.2054,4.768
8,60,0.519,1.827
8,62,0.8602,1.062
8,63,0.2871,3.384
8,64,1.2852,0.678
8,65,0.2874,3.379
8,71,0.2057,4.761
8,73,0.3141,3.084
8,74,0.4732,2.013
8,75,0.3056,3.172
9,10,0.3385,2.854
9,11,0.2307,4.234
9,24,0.2262,4.32
9,25,0.2374,4.112
9,29,0.2132,4.59
9,47,0.9083,1.001
9,48,0.234,4.173
9,56,0.1994,4.914
9,57,0.2275,4.295
9,68,0.2405,4.057
9,71,0.2455,3.973
10,11,0.3472,2.78
10,24,0.2164,4.521
10,25,0.2017,4.858
10,36,0.2995,3.238
10,47,0.2626,3.709
10,71,0.2078,4.713
11,24,0.3801,2.531
11,25,0.2984,3.251
